=Venemaa 26_H | a0: Venemaa, a0r: # 
=format'iiv 22_S | at: format'iiv, bt: format'iivi, bn: formatiivi, btv: format'iive, bnv: formatiive
=formatiseerima 28_V | at: formatiseeri, an: formatiseeri
=heksaeeder 02_S | a0: heksaeeder, b0: heksaeedri, b0r: heksaeedre
=heksagoon 22_S | at: heksagoon, bt: heksagooni, bn: heksagooni, btv: heksagoone, bnv: heksagoone
=heptagoon 22_S | at: heptagoon, bt: heptagooni, bn: heptagooni, btv: heptagoone, bnv: heptagoone
=histogr'amm 22_S | at: histogr'amm, bt: histogr'ammi, bn: histogrammi, btv: histogr'amme, bnv: histogramme
=homot'eetia 01_S | a0: homot'eetia, a0r: 0
=homoteetne 02_A | a0: homoteetne, b0: homoteetse, b0r: 0
=identifik'aator 02_S | a0: identifik'aator, b0: identifik'aatori, b0r: identifik'aatore
=ikosaeeder 02_S | a0: ikosaeeder, b0: ikosaeedri, b0r: ikosaeedre
=implementatsi'oon 22_S | at: implementatsi'oon, bt: implementatsi'ooni, bn: implementatsiooni, btv: implementatsi'oone, bnv: implementatsioone
=implementeerima 28_V | at: implementeeri, an: implementeeri
=infiimum 02_S | a0: infiimum, b0: infiimumi, b0r: infiimume
=initsialiseerima 28_V | at: initsialiseeri, an: initsialiseeri
=injektiivne 02_A | a0: injektiivne, b0: injektiivse, b0r: 0
=integrand 22_S | at: integrand, bt: integrandi, bn: integrandi, btv: integrande, bnv: integrande
=integreeruv 02_A | a0: integreeruv, b0: integreeruva, b0r: 0
=Internet 22_H | at: Internet, bt: Internetti, bn: Interneti, btv: Internette, bnv: Internete
=internet 22_H | at: internet, bt: internetti, bn: interneti, btv: internette, bnv: internete
=interpret'aator 02_S | a0: interpret'aator, b0: interpret'aatori, b0r: interpret'aatore
=inversne 02_A | a0: inversne, b0: inversse, b0r: 0
=isom'eetria 01_S | a0: isom'eetria, a0r: 0
=iteratsioon 22_S | at: iteratsioon, bt: iteratsiooni, bn: iteratsiooni, btv: iteratsioone, bnv: iteratsioone
=kahend-kümnendk'ood 22_S | at: kahend-kümnendk'ood, bt: kahend-kümnendk'oodi, bn: kahend-kümnendkoodi, btv: kahend-kümnendk'oode, bnv: kahend-kümnendkoode
=kaud'aadr'ess 22_S | at: kaud'aadr'ess, bt: kaud'aadr'essi, bn: kaud'aadressi, btv: kaud'aadr'esse, bnv: kaud'aadresse
=kiip 22_S | at: kiip, bt: kiipi, bn: kiibi, btv: kiipe, bnv: kiibe
=kiivnelinurk 22_S | at: kiivnelinurk, bt: kiivnelinurka, bn: kiivnelinurga, btv: kiivnelinurki, bnv: kiivnelinurgi
=kiivs'irge 01_AS | a0: kiivs'irge, a0r: 0
=klaster 02_S | a0: klaster, b0: klastri, b0r: klastre
=kollineaarne 02_A | a0: kollineaarne, b0: kollineaarse, b0r: 0
=komm'ertsl'ik 25_A | at: komm'ertsl'ik, bt: komm'ertsl'ikku, bn: komm'ertsliku, btv: komm'ertsl'ikke, bnv: komm'ertslike
=kommuteeruv 02_A | a0: kommuteeruv, b0: kommuteeruva, b0r: 0
=kompil'eeruma 28_V | at: kompil'eeru, an: kompileeru
=komplanaarne 02_A | a0: komplanaarne, b0: komplanaarse, b0r: 0
=konfigur'eerima 28_V | at: konfigur'eeri, an: konfigureeri
=konv'ertima 28_V | at: konv'erti, an: konverdi
=koosekans 22_S | at: koosekans, bt: koosekansi, bn: koosekansi, btv: koosekanse, bnv: koosekanse
=kootangens 02_S | a0: kootangens, b0: kootangensi, b0r: kootangense
=kujutuma 27_V | a0: kujutu
=kukerpallitama 27_V | a0: kukerpallita
=kursor 02_S | a0: kursor, b0: kursori, b0r: kursore
=kuupäevastama 27_V | a0: kuupäevasta
=kvadrant 22_S | at: kvadrant, bt: kvadranti, bn: kvadrandi, btv: kvadrante, bnv:  kvadrande
=lemnisk'aat 22_S | at: lemnisk'aat, bt: lemnisk'aati, bn: lemniskaadi, btv: lemnisk'aate, bnv: lemniskaade
=liidestama 27_V | a0: liidesta
=linkur 02_S | a0: linkur, b0: linkuri, b0r: linkure
=Linux 02_S | a0: Linux, b0: Linuxi, b0r: Linuxe
=liter'aal 22_S | at: liter'aal, bt: liter'aali, bn: literaali, btv: liter'aale, bnv: literaale
=lokaat 22_S | at: lok'aat, bt: lok'aati, bn: lokaadi, btv: lok'aate, bnv: lokaade
=lõikm'ik 25_S | at: lõikm'ik, bt: lõikm'ikku, bn: lõikmiku, btv: lõikm'ikke, bnv: lõikmike
=lõpp-p'unkt 22_S | at: lõpp-p'unkt, bt: lõpp-p'unkti, bn: lõpp-punkti, btv: lõpp-p'unkte, bnv: lõpp-punkte
=margin'aalne 02_A | a0: margin'aalne, b0: margin'aalse, b0r: 0
=mediaalkolmnurk 22_S | at: mediaalkolmnurk, bt: mediaalkolmnurka, bn: mediaalkolmnurga, btv: mediaalkolmnurki, bnv: mediaalkolmnurgi
=mehan'ism 22_S | at: mehan'ism, bt: mehan'ismi, bn: mehanismi, btv: mehan'isme, bnv: mehanisme
=modul'aarne 02_A | a0: modulaarne, b0: modulaarse, b0r: 0
=monoom 22_S | at: mon'oom, bt: mon'oomi, bn: monoomi, btv: mon'oome, bnv: monoome
=multinoom 22_S | at: multin'oom, bt: multin'oomi, bn: multinoomi, btv: multin'oome, bnv: multinoome
=multipl'eksor 02_S | a0: multipl'eksor, b0: multipl'eksori, b0r: multipl'eksore
=multiplikatiivne 02_A | a0: multiplikatiivne, b0: multiplikatiivse, b0r: 0
=märgendus 11_S | a0: märgendus, b0: märgenduse, b0v: märgendusi
=noniljon 19_S | a0: noniljon, b0: noniljoni, b0v: noniljone
=null-lahend 02_S | a0: null-lahend, b0: null-lahendi, b0r: null-lahende
=nüüdisajastama 27_V | a0: nüüdisajasta
=oktaalsüst'eem 22_S | at: oktaalsüst'eem, bt: oktaalsüst'eemi, bn: oktaalsüsteemi, btv: oktaalsüst'eeme, bnv: oktaalsüsteeme
=oktagoon 22_S | at: oktagoon, bt: oktagooni, bn: oktagooni, btv: oktagoone, bnv: oktagoone
=oktant 22_S | at: oktant, bt: oktanti, bn: oktandi, btv: oktante, bnv:  oktande
=oktiljon 19_S | a0: oktiljon, b0: oktiljoni, b0v: oktiljone
=omapäratsema 27_V | a0: omapäratse
=omavolitsema 27_V | a0: omavolitse
=operand 22_S | at: operand, bt: operandi, bn: operandi, btv: operande, bnv: operande
=optimiseerima 28_V | at: optimiseeri, an: optimiseeri
=ortots'enter 02_S | a0: ortots'enter, b0: ortots'entri, b0r: ortots'entre
=ortotsentriline 02_A | a0: ortotsentriline, b0: ortotsentrilise, b0r: 0
=ovaloid 22_S | at: ovaloid, bt: ovaloidi, bn: ovaloidi, btv: ovaloide, bnv: ovaloide
=paarsus 09_A | a0: paarsus, b0: paarsuse
=paarsus 11_A | a0: paarsus, b0: paarsuse, b0v: paarsusi
=paisktabel 02_S | a0: paisktabel, b0: paisktabeli, b0r: paisktabele
=p'arsima 28_V | at: p'arsi, an: parsi
=pentagr'amm 22_S | at: pentagr'amm, bt: pentagr'ammi, bn: pentagrammi, btv: pentagr'amme, bnv: pentagramme
=peremehetsema 27_V | a0: peremehetse
=perim'eeter 02_S | a0: perim'eeter, b0: perim'eetri, b0r: perim'eetre
=permuteeruv 02_A | a0: permuteeruv, b0: permuteeruva, b0r: 0
=piktogr'amm 22_S | at: piktogr'amm, bt: piktogr'ammi, bn: piktogrammi, btv: piktogr'amme, bnv: piktogramme
=pillerkaaritama 27_V | a0: pillerkaarita
=planaarne 02_A | a0: planaarne, b0: planaarse, b0r: 0
=port 22_S | at: p'ort, bt: p'orti, bn: pordi, btv: p'orte, bnv: porde
=p'ortima 28_V | at: p'orti, an: pordi
=primitiiv 22_S | at: primit'iiv, bt: primitiivi, bn: primitiivi, btv: primitiive, bnv: primitiive
=programne 02_A | a0: programne, b0: programse, b0r: 0
=projektiivne 02_A | a0: projektiivne, b0: projektiivse, b0r: 0
=protsessor 02_S | a0: protsessor, b0: protsessori, b0r: protsessore
=putuktolmlema 30_V | at: putuktolmle, (bt): putuktolmel, bn: putuktolmel
=realisatsi'oon 22_S | at: realisatsi'oon, bt: realisatsi'ooni, bn: realisatsiooni, btv: realisatsi'oone, bnv: realisatsioone
=referatiivne 02_A | a0: referatiivne, b0: referatiivse, b0r: 0
=regulaaravaldis 11_S | a0: regulaaravaldis, b0: regulaaravaldise, b0v: regulaaravaldisi
=rekurrentne 02_A | a0: rekurrentne, b0: rekurrentse, b0r: 0
=rekurs'iivne 02_A | a0: rekurs'iivne, b0: rekurs'iivse, b0r: 0
=rekursi'oon 22_S | at: rekursi'oon, bt: rekursi'ooni, bn: rekursiooni, btv: rekursi'oone, bnv: rekursioone
=r'iht 22_S | at: r'iht, bt: r'ihti, bn: rihi, btv: r'ihte, bnv: rihe
=rippmen'üü 26_S | a0: rippmen'üü, a0r: #
=septiljon 19_S | a0: septiljon, b0: septiljoni, b0v: septiljone
=sertifitseerima 28_V | at: sertifitseeri, an: sertifitseeri
=server 02_S | a0: server, b0: serveri, b0r: servere
=sidekoestuma 27_V | a0: sidekoestu
=sidum 02_S | a0: sidum, b0: sidumi, b0r: sidume
=signum-funktsioon 22_S | at: signum-funktsioon, bt: signum-funktsiooni, bn: signum-funktsiooni, btv: signum-funktsioone, bnv: signum-funktsioone
=simpleksmeetod 02_S | a0: simpleksmeetod, b0: simpleksmeetodi, b0r: simpleksmeetode
=sisend-väljund 41_D
=skoop 22_S | at: skoop, bt: skoopi, bn: skoobi, btv: skoope, bnv: skoobe
=skr'ipt 22_S | at: skr'ipt, bt: skr'ipti, bn: skripti, btv: skr'ipte, bnv: skripte
=soovitusl'ik 25_A | at: soovitusl'ik, bt: soovitusl'ikku, bn: soovitusliku, btv: soovitusl'ikke, bnv: soovituslike
?sp'ellimine 10_S | a0: sp'ellimine, b0: sp'ellimise, c0: sp'ellimis
!sp'ellimine 12_S | a0: sp'ellimine, b0: sp'ellimise, c0: sp'ellimis, b0v: sp'ellimisi
=steradi'aan 22_S | at: steradi'aan, bt: steradi'aani, bn: steradiaani, btv: steradi'aane, bnv: steradiaane
=suht'aadr'ess 22_S | at: suht'aadr'ess, bt: suht'aadr'essi, bn: suht'aadressi, btv: suht'aadr'esse, bnv: suht'aadresse
=sürjektiivne 02_A | a0: sürjektiivne, b0: sürjektiivse, b0r: 0
=sürjektiivne 02_S | a0: sürjektiivne, b0: sürjektiivse, b0r: 0
=z-t'elg 22_S | at: z-t'elg, bt: z-t'elge, bn: z-telje, btv: z-t'elgi, bnv: z-teli
=tagurpidi 41_D
=taotlusl'ik 25_A | at: taotlusl'ik, bt: taotlusl'ikku, bn: taotlusliku, btv: taotlusl'ikke, bnv: taotluslike 
=tiritammitama 27_V | a0: tiritammita
=toimeti 01_S | a0: toimeti, a0r: toimete
=transl'aator 02_S | a0: transl'aator, b0: transl'aatori, b0r: transl'aatore
=trinoom 22_S | at: trin'oom, bt: trin'oomi, bn: trinoomi, btv: trin'oome, bnv: trinoome
=trips-traps-tr'ull 22_S | at: trips-traps-tr'ull, bt: trips-traps-tr'ulli, bn: trips-traps-trulli, btv: trips-traps-tr'ulle, bnv: trips-traps-trulle
=trisektsi'oon 22_S | at: trisektsi'oon, bt: trisektsi'ooni, bn: trisektsiooni, btv: trisektsi'oone, bnv: trisektsioone
=trüki-seade 05_S | an: trüki-seade, (at): trüki-s'eade, bt: trüki-s'eadme, btr: #
=tsükloid 22_S | at: tsükloid, bt: tsükloidi, bn: tsükloidi, btv: tsükloide, bnv: tsükloide
=tunneldama 27_V | a0: tunnelda
=unikursaalne 02_A | a0: unikursaalne, b0: unikursaalse, b0r: 0
=vahetevahel 41_D
=vahete-vahel 41_J
=valideerima 28_V | at: valideeri, an: valideeri
=valiidne 02_A | a0: valiidne, b0: valiidse, b0r: 0
=veebisait 22_S | at: veebis'ait, bt: veebis'aiti, bn: veebisaidi, btv: veebis'aite, bnv: veebisaide
=vägivallatsema 27_V | a0: vägivallatse
=ülat'iitel 02_S | a0: ülat'iitel, b0: ülat'iitli, b0r: ülat'iitle
=ülivähe 41_D
=xz-tasand 02_S | a0: xz-tasand, b0: xz-tasandi, b0r: xz-tasande
=x-t'elg 22_S | at: x-t'elg, bt: x-t'elge, bn: x-telje, btv: x-t'elgi, bnv: x-teli
=xy-tasand 02_S | a0: xy-tasand, b0: xy-tasandi, b0r: xy-tasande
=yz-tasand 02_S | a0: yz-tasand, b0: yz-tasandi, b0r: yz-tasande
=y-t'elg 22_S | at: y-t'elg, bt: y-t'elge, bn: y-telje, btv: y-t'elgi, bnv: y-teli
